time,Value
19.8,688.872924804688
19.82,616.831420898438
19.84,556.413757324219
19.859999,522.812927246094
19.88,531.685852050781
19.9,588.323364257813
19.92,684.541870117188
19.939999,808.984741210938
19.96,950.931091308594
19.98,1095.58288574219
20,1226.81188964844
20.02,1329.74877929688
20.039999,1390.63732910156
20.06,1407.91918945313
20.08,1386.35900878906
20.1,1323.67736816406
20.119999,1223.52697753906
20.14,1090.74377441406
20.16,938.844421386719
20.18,778.611145019531
20.199999,607.680786132813
20.22,423.493072509766
20.24,228.959899902344
20.26,37.8488311767578
20.279999,-127.8189926
20.3,-250.2716827
20.32,-325.1007385
20.34,-345.4673462
20.359999,-315.5688477
20.38,-247.5655823
20.4,-159.9527283
20.42,-66.90007019
20.439999,18.1720695495605
20.46,89.4744491577148
20.48,146.953887939453
20.5,183.442138671875
20.52,201.278030395508
20.539999,215.365631103516
20.56,234.395431518555
20.58,257.836334228516
20.6,280.319641113281
20.619999,289.465209960938
20.64,275.653778076172
20.66,233.855529785156
20.68,159.757965087891
20.699999,59.0326271057129
20.72,-54.57318878
20.74,-166.1389618
20.76,-265.2140808
20.779999,-353.9537964
20.8,-436.1376648
20.82,-514.9898071
20.84,-599.6279297
20.859999,-698.9924316
20.88,-817.7069702
20.9,-954.5912476
20.92,-1099.591675
20.939999,-1237.179199
20.96,-1356.647705
20.98,-1446.93396
21,-1497.306763
21.02,-1506.197754
21.039999,-1482.320679
21.06,-1440.766235
21.08,-1395.931519
21.1,-1357.116577
21.119999,-1328.559448
21.14,-1310.270996
21.16,-1295.359131
21.18,-1272.984253
21.199999,-1236.13269
21.22,-1188.116943
21.24,-1139.106079
21.26,-1099.512573
21.279999,-1076.967285
21.3,-1076.075073
21.32,-1096.131714
21.34,-1133.213135
21.359999,-1179.960815
21.38,-1228.074219
21.4,-1267.743164
21.42,-1291.184692
21.439999,-1299.09436
21.46,-1297.035034
21.48,-1292.323242
21.5,-1295.896851
21.52,-1316.246948
21.539999,-1354.976685
21.56,-1405.690186
21.58,-1453.456421
21.6,-1485.866333
21.619999,-1499.981201
21.64,-1500.159424
21.66,-1490.532715
21.68,-1473.25415
21.699999,-1451.549805
21.72,-1433.317749
21.74,-1424.931885
21.76,-1422.536377
21.779999,-1414.996216
21.8,-1392.516602
21.82,-1353.975464
21.84,-1301.768921
21.859999,-1238.274658
21.88,-1170.587524
21.9,-1114.071289
21.92,-1081.320435
21.939999,-1075.133423
21.96,-1089.894409
21.98,-1117.088867
22,-1150.19043
22.02,-1180.795776
22.039999,-1199.905151
22.06,-1200.674194
22.08,-1183.564331
22.1,-1154.996826
22.119999,-1122.164673
22.14,-1086.208984
22.16,-1045.156616
22.18,-1000.160889
22.199999,-951.5557861
22.22,-896.7285767
22.24,-834.9160156
22.26,-770.8153687
22.279999,-708.0213013
22.3,-649.6044922
22.32,-608.2280884
22.34,-597.5148315
22.359999,-617.4094849
22.38,-659.4026489
22.4,-713.8961182
22.42,-767.911499
22.439999,-811.7589111
22.46,-842.4639282
22.48,-854.2697144
22.5,-844.7230835
22.519999,-817.9369507
22.539999,-775.4588013
22.56,-718.0095825
22.58,-649.489502
22.6,-575.619873
22.619999,-503.4886169
22.64,-434.8879395
22.66,-364.7177124
22.68,-290.9116211
22.699999,-219.4319458
22.72,-161.384079
22.74,-125.0767746
22.76,-107.5372314
22.779999,-100.3510208
22.8,-100.2249222
22.82,-104.5569611
22.84,-107.1019897
22.859999,-101.6400604
22.88,-85.78248596
22.9,-60.92140579
22.92,-29.57648277
22.939999,11.4320907592773
22.96,57.5225334167481
22.98,105.775703430176
23,146.11067199707
23.019999,178.101593017578
23.039999,209.635864257813
23.06,246.721252441406
23.08,287.677642822266
23.1,329.009674072266
23.119999,366.776977539063
23.14,403.422515869141
23.16,446.156585693359
23.18,489.983917236328
23.199999,532.183532714844
23.22,572.789611816406
23.24,614.810852050781
23.26,659.123229980469
23.279999,703.19580078125
23.3,743.37158203125
23.32,778.783813476563
23.34,810.943176269531
23.359999,841.314697265625
23.38,868.603942871094
23.4,888.3076172
23.42,899.545776367188
23.439999,902.854125976563
23.46,894.355041503906
23.48,871.372863769531
23.5,835.473815917969
23.519999,792.201782226563
23.539999,749.489807128906
23.56,712.446716308594
23.58,684.690856933594
23.6,672.557312011719
23.619999,682.136657714844
23.64,716.831909179688
23.66,774.805419921875
23.68,847.486267089844
23.699999,924.822509765625
23.72,1001.88226318359
23.74,1073.51586914063
23.76,1133.79455566406
23.779999,1182.26635742188
23.8,1220.085938
23.82,1250.63049316406
23.84,1273.05639648438
23.859999,1279.55053710938
23.88,1264.90441894531
23.9,1227.54602050781
23.92,1168.244141
23.939999,1092.05627441406
23.96,1009.99261474609
23.98,934.564270019531
24,876.1210938
24.019999,840.827514648438
24.039999,830.3154297
24.06,840.893798828125
24.08,866.073669433594
24.1,896.756164550781
24.119999,919.47412109375
24.14,923.755737304688
24.16,908.431030273438
24.18,874.740295410156
